model,0.1,1.0,5.0,10.0,20.0,30.0,40.0,50.0
Standard PINN,6.603e-06,1.66e-05,0.1648,1.601,,,,
Window PINN,2.963e-05,7.053e-05,4.623e-05,0.8769,,,,
SIREN PINN,2.632e-05,1.438e-05,9.874e-05,0.3632,,,,
Fourier Feature PINN,2.754e-05,1.161e-05,0.0001256,0.291,,,,
Adaptive Window PINN,1.727e-05,1.577e-05,5.558e-05,0.0003234,0.0008732,0.0005516,0.002834,0.6968
Adaptive SIREN PINN,1.686e-05,1.845e-05,6.58e-05,0.00115,0.08319,1.161,2.213,2.028
Adaptive Fourier Feature PINN,1.885e-05,2.659e-05,7.544e-05,0.0004579,0.001921,2.49,1.644,2.38
