model,0.1,1.0,5.0,10.0,20.0,30.0,40.0,50.0
Standard PINN,88.9,209.3,206.3,210.8,,,,
Window PINN,118.7,164.9,269.1,416.7,,,,
SIREN PINN,214.0,218.9,455.0,659.8,,,,
Fourier Feature PINN,227.9,249.8,468.2,697.1,,,,
Adaptive Window PINN,266.7,324.2,591.6,845.2,1123.6,1528.1,1989.8,2382.7
Adaptive SIREN PINN,466.9,440.0,701.6,1238.9,1833.6,2009.9,1579.4,3494.1
Adaptive Fourier Feature PINN,418.1,687.9,864.2,1114.4,1525.8,3006.2,2886.5,3416.4
